run_id,point_index,lambda,source,trace_row,gen_idx,bus_ext,PG,QG,QMAX,QMIN,PMAX,PMIN,status,warmstart
beerten_vsc,57,2.46618802429249,cpf.gen,1,1,1,476.492389215615,70.3769331990321,500,-500,500,-500,1,0
beerten_vsc,57,2.46618802429249,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,58,2.50375227409579,cpf.gen,1,1,1,485.755470316722,89.869056184421,500,-500,500,-500,1,0
beerten_vsc,58,2.50375227409579,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,59,2.5403306887546,cpf.gen,1,1,1,494.24081471966,99.0622156377936,500,-500,500,-500,1,0
beerten_vsc,59,2.5403306887546,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,60,2.57626155992141,cpf.gen,1,1,1,502.884599644731,109.544806997368,500,-500,500,-500,1,0
beerten_vsc,60,2.57626155992141,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,61,2.61139017132408,cpf.gen,1,1,1,511.500849864578,120.333478329743,500,-500,500,-500,1,0
beerten_vsc,61,2.61139017132408,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,62,2.64564391760841,cpf.gen,1,1,1,519.852857881451,130.180451170909,500,-500,500,-500,1,0
beerten_vsc,62,2.64564391760841,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,63,2.67908031877032,cpf.gen,1,1,1,528.39694555699,141.54875346952,500,-500,500,-500,1,0
beerten_vsc,63,2.67908031877032,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,64,2.71148973302085,cpf.gen,1,1,1,538.111071235001,164.167943160065,500,-500,500,-500,1,0
beerten_vsc,64,2.71148973302085,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,65,2.74210601831454,cpf.gen,1,1,1,546.508806498078,176.443405214978,500,-500,500,-500,1,0
beerten_vsc,65,2.74210601831454,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,66,2.77142345334457,cpf.gen,1,1,1,554.817179905939,189.068710654385,500,-500,500,-500,1,0
beerten_vsc,66,2.77142345334457,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,67,2.7993212496859,cpf.gen,1,1,1,563.018333482453,202.045597632252,500,-500,500,-500,1,0
beerten_vsc,67,2.7993212496859,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,68,2.8256695601568,cpf.gen,1,1,1,571.091991023783,215.372434431129,500,-500,500,-500,1,0
beerten_vsc,68,2.8256695601568,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,69,2.85033044007157,cpf.gen,1,1,1,581.767295319048,245.033678743825,500,-500,500,-500,1,0
beerten_vsc,69,2.85033044007157,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,70,2.871463674602,cpf.gen,1,1,1,589.369086412205,259.392015749053,500,-500,500,-500,1,0
beerten_vsc,70,2.871463674602,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,71,2.89046473589026,cpf.gen,1,1,1,596.741173043655,274.056293181907,500,-500,500,-500,1,0
beerten_vsc,71,2.89046473589026,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,72,2.90718394113907,cpf.gen,1,1,1,603.851449450247,288.996289876886,500,-500,500,-500,1,0
beerten_vsc,72,2.90718394113907,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,73,2.91464090596082,cpf.gen,1,1,1,613.457084690746,322.862031418661,500,-500,500,-500,1,0
beerten_vsc,73,2.91464090596082,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,74,2.92369948007252,cpf.gen,1,1,1,619.611919965384,338.471689757582,500,-500,500,-500,1,0
beerten_vsc,74,2.92369948007252,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,75,2.92999530031736,cpf.gen,1,1,1,625.373396639183,354.167572321532,500,-500,500,-500,1,0
beerten_vsc,75,2.92999530031736,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,76,2.93058505271814,cpf.gen,1,1,1,626.064152640755,356.131330961233,500,-500,500,-500,1,0
beerten_vsc,76,2.93058505271814,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,77,2.93060719857674,cpf.gen,1,1,1,626.091001193028,356.208044736231,500,-500,500,-500,1,0
beerten_vsc,77,2.93060719857674,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,78,2.93061410869532,cpf.gen,1,1,1,626.099389666407,356.232017859451,500,-500,500,-500,1,0
beerten_vsc,78,2.93061410869532,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,79,2.93061842342854,cpf.gen,1,1,1,626.104631875427,356.247001075969,500,-500,500,-500,1,0
beerten_vsc,79,2.93061842342854,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,80,2.9306190972061,cpf.gen,1,1,1,626.105450916815,356.249342204382,500,-500,500,-500,1,0
beerten_vsc,80,2.9306190972061,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,81,2.93061920247409,cpf.gen,1,1,1,626.105578890719,356.249708005717,500,-500,500,-500,1,0
beerten_vsc,81,2.93061920247409,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
beerten_vsc,82,2.93061921892198,cpf.gen,1,1,1,626.10559888661,356.249765162176,500,-500,500,-500,1,0
beerten_vsc,82,2.93061921892198,cpf.gen,2,2,2,160,120,120,120,300,0,1,0
