set_name,bus_i,base_kv,vm_initial,vm_final,vm_min
genq_generator_buses,657,0.7,1.02,0.625701457864,0.625701457864
genq_generator_buses,658,0.7,1.02,1.02,1.02
genq_generator_buses,659,0.4,1,1,1
genq_generator_buses,661,11,1.05,0.964585720865,0.964585720865
genq_generator_buses,662,11,1.04264691833,0.954615890559,0.954615890559
genq_generator_buses,663,0.4,1.10675416863,1.07780008016,1.07780008016
genq_generator_buses,664,0.58,0.967341826714,0.947358985574,0.947358985574
genq_generator_buses,665,0.7,1.04503556935,0.772757229829,0.772757229829
genq_generator_buses,670,10.5,nan,nan,nan
genq_generator_buses,671,10.5,nan,nan,nan
genq_generator_buses,675,0.69,1.01505604,0.984586250459,0.984586250459
genq_generator_buses,676,0.69,0.995785628,0.995785628,0.995785628
genq_generator_buses,679,0.7,1.03,1.03,1.03
genq_generator_buses,680,0.7,1.03,1.03,1.03
genq_generator_buses,684,0.7,1.03,1.03,1.03
genq_generator_buses,685,0.7,1.03,1.03,1.03
genq_generator_buses,686,0.7,1.03,1.03,1.03
genq_generator_buses,687,0.6,1.03,1.03,1.03
genq_generator_buses,688,0.7,1,1,1
genq_generator_buses,691,0.7,1.02,1.02,1.02
genq_generator_buses,692,0.7,1.02,1.02,1.02
genq_regulated_buses,102,13.8,1.04,1.04,1.04
genq_regulated_buses,104,13.8,1.04,1.04,1.04
genq_regulated_buses,106,13.8,1.04,1.04,1.04
genq_regulated_buses,108,13.8,1.04,1.04,1.04
genq_regulated_buses,201,13.2,nan,nan,nan
genq_regulated_buses,202,13.2,nan,nan,nan
genq_regulated_buses,203,13.2,nan,nan,nan
genq_regulated_buses,204,13.2,nan,nan,nan
genq_regulated_buses,205,11,nan,nan,nan
genq_regulated_buses,206,11,nan,nan,nan
genq_regulated_buses,251,13.2,1.04,0.942806612053,0.942806612053
genq_regulated_buses,252,13.2,nan,nan,nan
genq_regulated_buses,259,132,1.00583550547,0.753076613843,0.753076613843
genq_regulated_buses,453,0.4,1.03,1.03,1.03
