accepted_index,lambda,total_demand_MW,phase,AC_bus_1_pu,AC_bus_2_pu,AC_bus_3_pu,AC_bus_4_pu,AC_bus_5_pu,AC_bus_6_pu,AC_bus_7_pu,VSC1_filter_pu,VSC1_internal_pu,VSC2_filter_pu,VSC2_internal_pu,VSC3_filter_pu,VSC3_internal_pu,DC_bus_2_pu,DC_bus_3_pu,DC_bus_5_pu
70,1.00957470750873,407.297929802096,lower_branch_decreasing_demand,1.06,0.837785588909295,0.855576473962351,0.80015370355113,0.424668726488911,0.904731910005805,0.883686405708326,0.837737847057609,0.818484549510889,0.855724710012163,0.913877583774347,0.424680508369445,0.431280012275521,1.00797073009052,1,0.997956607275582
71,0.984457719920936,401.269852781025,lower_branch_decreasing_demand,1.06,0.832547793767034,0.8495529890313,0.793273127752664,0.410135548673138,0.899817865181145,0.875989134825554,0.832499751596656,0.813131640263475,0.849701204288553,0.907846744969209,0.410147748642549,0.417073264433992,1.00796862920661,1,0.99795278764209
72,0.959017336727042,395.16416081449,lower_branch_decreasing_demand,1.06,0.827526871714896,0.843772845826312,0.786663975943793,0.396024471916962,0.895109740731207,0.868594501894166,0.827478538092494,0.807999119677025,0.84392104116381,0.90205956725017,0.39603710726048,0.403312032976498,1.0079664420049,1,0.997948731347098
73,0.933400630073012,389.016151217523,lower_branch_decreasing_demand,1.06,0.822725471870841,0.838239773367181,0.780331202099246,0.382353918169492,0.890609725103061,0.861508143712213,0.82267685621235,0.803089837125072,0.838387949738721,0.896519808113878,0.382367006016228,0.390016135529612,1.00796416562619,1,0.997944428910592
74,0.907753319141448,382.860796593948,lower_branch_decreasing_demand,1.06,0.81814578973867,0.832956976659574,0.774279176885063,0.369142439703227,0.886319586059989,0.854735048085739,0.818096901983927,0.798406178033665,0.833105135096139,0.891230699617633,0.369155996786285,0.377205411020406,1.0079617979898,1,0.997939872794036
75,0.882218303553712,376.732392852891,lower_branch_decreasing_demand,1.06,0.813789382452901,0.827926917171431,0.768511428528925,0.356408106742626,0.882240499709233,0.848279262863217,0.813740233025906,0.793949873759632,0.828075058775055,0.886194728029508,0.356422149132614,0.364899049883006,1.00795933799946,1,0.997935057955235
76,0.856933529279419,370.664047027061,lower_branch_decreasing_demand,1.06,0.809656934078875,0.82315103482727,0.763030315104067,0.344167679920633,0.878372833118552,0.842143527927651,0.809607533830029,0.789721760158357,0.823299160762291,0.881413354895985,0.344182222746619,0.353114710121668,1.0079567857119,1,0.997929982330433
77,0.832029306027837,364.687033446681,lower_branch_decreasing_demand,1.06,0.805748001252124,0.818629446474379,0.757836668284336,0.332435641693081,0.874715908892706,0.836328874963264,0.805698361380537,0.785721515808149,0.818777557956035,0.876886714572003,0.332450698869367,0.34186749954513,1.00795414244316,1,0.997924647176446
78,0.807625324037574,358.830077769018,lower_branch_decreasing_demand,1.06,0.802060777497516,0.814360665385761,0.752929460063178,0.321223197327326,0.871267787495087,0.830834252677367,0.802010909453993,0.781947419172372,0.814508763666423,0.872613332891973,0.321238781306728,0.331168941150325,1.00795141079196,1,0.997919057213297
79,0.783827719152219,353.118652596533,lower_branch_decreasing_demand,1.06,0.79859191645056,0.810341388822386,0.748305547146761,0.310537377563724,0.86802510474214,0.825656238825629,0.798541831824642,0.778396165969032,0.810489475176018,0.868589914120799,0.310553499137363,0.321026058916921,1.00794859456968,1,0.9979132205308
80,0.760726573227364,347.574377574567,lower_branch_decreasing_demand,1.06,0.795336447784809,0.806566393449657,0.743959539715843,0.300380371514964,0.864982995812439,0.820788891467771,0.795286158181771,0.775062781499086,0.806714469155395,0.86481123607404,0.300397039674502,0.311440715194878,1.00794569864089,1,0.99790714825733
81,0.738394190221664,342.214605653199,lower_branch_decreasing_demand,1.06,0.79228780509927,0.803028561611606,0.739883822044581,0.29074918581548,0.862135123482749,0.816223770401167,0.792237322014665,0.771940647807913,0.803176627937472,0.861270176459227,0.290766407686864,0.302409295013392,1.00794272869294,1,0.997900854027212
82,0.71688436459675,337.05224750322,lower_branch_decreasing_demand,1.06,0.789437965877508,0.799719039192112,0.736068726719663,0.281635671676593,0.859473810449728,0.811950130882165,0.789387300577279,0.769021645937589,0.799867097379856,0.857957871158699,0.281653452526229,0.293922775098678,1.00793969096369,1,0.997894353313915
83,0.696232691808659,332.095846034078,lower_branch_decreasing_demand,1.06,0.786777685084038,0.796627504068071,0.732502838892237,0.273026900060675,0.856990258356272,0.807955263358952,0.786726848497358,0.766296394491754,0.796775555319979,0.854863983396132,0.273045243367161,0.285967151766216,1.00793659196059,1,0.997887662711354
84,0.676457808729408,327.349874095058,lower_branch_decreasing_demand,1.06,0.784296790969014,0.793742508803526,0.729173388910273,0.264905813709936,0.85467482411791,0.804224932625146,0.784245793599117,0.763754552362081,0.793890554271738,0.851977047336907,0.264924721288731,0.278524149662848,1.00793343820112,1,0.997880799242413
85,0.657563335144213,322.815200434611,lower_branch_decreasing_demand,1.06,0.781984506758509,0.791051855277904,0.726066684427301,0.257252054913908,0.852517319685103,0.800743861617598,0.781933358614423,0.761385148391671,0.791199896056492,0.849284843704702,0.257271527079278,0.271572104191295,1.00793023599615,1,0.997873779756046
86,0.639540235799301,318.489656591832,lower_branch_decreasing_demand,1.06,0.779829764797458,0.788542962097071,0.723168536421269,0.250042862853581,0.850507304158642,0.797496208768318,0.779778475347197,0.759176903660566,0.78869099921684,0.846774768162803,0.250062898601848,0.265086907041048,1.00792699128722,1,0.997866620449231
87,0.622369331536929,314.368639568863,lower_branch_decreasing_demand,1.06,0.777821487815117,0.786203194930228,0.72046464411149,0.243253949120867,0.848634344784536,0.794465999609975,0.777770065959004,0.757118520353062,0.786351229355978,0.844434162527928,0.243274546320779,0.259042920964778,1.00792370953927,1,0.997859336525375
88,0.606023738566704,310.445697256009,lower_branch_decreasing_demand,1.06,0.775948822080027,0.784020141628622,0.717940917232071,0.236860285724752,0.846888232787941,0.791637488411561,0.775897276141546,0.755198921502048,0.784168174258498,0.842250590627393,0.236881441303748,0.253413797411104,1.00792039568303,1,0.997851941981432
89,0.604037249851559,309.968939964374,lower_branch_decreasing_demand,1.06,0.775723776103418,0.783757709073896,0.717637471745375,0.236087711448622,0.84667841960601,0.791297382733453,0.775672215213131,0.754968221659069,0.783905741539169,0.841988114560001,0.236108936560305,0.252738093532161,1.00791997946939,1,0.997851010648074
90,0.603048630617282,309.731671348148,lower_branch_decreasing_demand,1.06,0.775611979788621,0.783627333197871,0.7174867160789,0.235703577011656,0.846574192442815,0.791128412697904,0.775560411467485,0.754853615570321,0.783775365585678,0.841857718648468,0.235724836866712,0.252402500955471,1.00791977120283,1,0.997850544415538
